factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.5,10,0,10,10,20
1,0.6666666666666666,0.5263157894736842,10,0,9,10,19
2,0.6666666666666666,0.5555555555555556,10,0,8,10,18
3,0.6666666666666666,0.5882352941176471,10,0,7,10,17
18,0.6666666666666666,0.625,10,0,6,10,16
9,0.5373134328358209,0.6666666666666666,10,0,5,10,15
15,0.5294117647058824,0.7142857142857143,10,0,4,10,14
14,0.5176470588235295,0.7692307692307693,10,0,3,10,13
8,0.48,0.7692307692307693,10,0,3,10,13
13,0.4714285714285714,0.7692307692307693,10,0,3,10,13
6,0.4,0.8333333333333334,10,0,2,10,12
12,0.39285714285714285,0.9090909090909091,10,0,1,10,11
7,0.36363636363636365,1.0,10,0,0,10,10
20,0.358974358974359,0.9,9,1,0,10,9
11,0.2619047619047619,0.9,9,1,0,10,9
17,0.06451612903225806,0.8,8,2,0,10,8
4,0.0,0.5,5,5,0,10,5
5,0.0,0.5,5,5,0,10,5
10,0.0,0.5,5,5,0,10,5
16,0.0,0.5,5,5,0,10,5
19,0.0,0.2,2,8,0,10,2
21,0.0,0.2,2,8,0,10,2
