2019-03-02 02:04:37,791 [I] 	(at main.py:29) 
2019-03-02 02:04:37,791 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:04:37,792 [D] Title: RUN, Job key: RUN_2019-03-02_02:04:37	(at main.py:40) 
2019-03-02 02:04:37,792 [I] Load config file.	(at main.py:56) 
2019-03-02 02:04:37,792 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/mug/2/config/config.ini']	(at config.py:16) 
2019-03-02 02:04:37,792 [D] Load config successfully!	(at config.py:19) 
2019-03-02 02:04:37,792 [D] Initialize directory: .	(at workspace.py:10) 
2019-03-02 02:04:37,792 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:04:37,792 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mug/2/work	(at workspace.py:41) 
2019-03-02 02:04:37,794 [D] Record the config on workspace.	(at workspace.py:62) 
2019-03-02 02:04:37,794 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:04:37,794 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:04:37,794 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:04:37,833 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:04:37,840 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:04:37,878 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:04:37,889 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:04:37,889 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:04:37,890 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:04:37,906 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:37,907 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:37,924 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:37,924 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:37,924 [D] └:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:37,940 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:37,941 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
