2019-02-12 23:04:31,513 [I] output_path: output/bayes_sim/mbe/random	(at bayes_similarity.py:159) 
2019-02-12 23:04:31,515 [I] factor_size: 21	(at bayes_similarity.py:46) 
2019-02-12 23:04:31,515 [I] response_size: 16	(at bayes_similarity.py:47) 
2019-02-12 23:04:31,540 [I] Criteria path loaded (path:output/original/mbe/scripts/test/criteria)	(at bayes_similarity.py:58) 
2019-02-12 23:04:31,540 [I] Criterion ORBS:22:14:j (1): response_idx:2, vector_idx:23	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,581 [I] Criterion ORBS:24:15:k (2): response_idx:3, vector_idx:24	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,621 [I] Criterion ORBS:26:20:k (3): response_idx:4, vector_idx:25	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,661 [I] Criterion ORBS:26:13:k (4): response_idx:5, vector_idx:26	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,701 [I] Criterion ORBS:30:20:k (5): response_idx:6, vector_idx:27	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,779 [I] Criterion ORBS:30:13:k (6): response_idx:7, vector_idx:28	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,820 [I] Criterion ORBS:31:20:j (7): response_idx:8, vector_idx:29	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,861 [I] Criterion ORBS:31:13:j (8): response_idx:9, vector_idx:30	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,903 [I] Criterion ORBS:34:20:j (9): response_idx:10, vector_idx:31	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,947 [I] Criterion ORBS:39:8:j (10): response_idx:11, vector_idx:32	(at bayes_similarity.py:127) 
2019-02-12 23:04:31,988 [I] Criterion ORBS:51:8:k (11): response_idx:12, vector_idx:33	(at bayes_similarity.py:127) 
2019-02-12 23:04:32,028 [I] Criterion ORBS:61:12:k (12): response_idx:13, vector_idx:34	(at bayes_similarity.py:127) 
2019-02-12 23:04:32,067 [I] Criterion ORBS:66:12:k (13): response_idx:14, vector_idx:35	(at bayes_similarity.py:127) 
2019-02-12 23:04:32,106 [I] Criterion ORBS:71:12:j (14): response_idx:15, vector_idx:36	(at bayes_similarity.py:127) 
