2019-03-02 02:01:59,696 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:59,707 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:59,707 [D] └:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:59,720 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:59,720 [D] |:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:59,720 [D] └:F:n:WD_3:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:59,720 [D]  : : :pass:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:28	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:20	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:19	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:17	(at logger.py:129) 
2019-03-02 02:01:59,721 [D]  : : :pass:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:59,722 [D]  : : :pass:wc.c:15	(at logger.py:129) 
2019-03-02 02:01:59,722 [D]  : : :pass:wc.c:14	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] -:C:c:WD_1:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] ┌:C:c:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] └:C:c:WD_2:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] ┌:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] |:F:n:WD_3:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:59,722 [D]  : : :pass:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:59,722 [D]  : : :pass:wc.c:11	(at logger.py:129) 
2019-03-02 02:01:59,722 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:01:59,722 [D]  : : :pass:wc.c:9	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] -:F:n:WD_1:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] ┌:F:n:WD_2:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:59,722 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] ┌:F:n:WD_3:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:59,723 [D]  : : :pass:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:59,723 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:01:59,723 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:59,723 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:59,724 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:59,724 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:59,724 [D]  : : :pass:wc.c:2	(at logger.py:129) 
2019-03-02 02:01:59,724 [D]  : : :pass:wc.c:1	(at logger.py:129) 
2019-03-02 02:01:59,724 [D] comp_cached_cnt:13	(at logger.py:134) 
2019-03-02 02:01:59,724 [D] compile_cnt:2	(at logger.py:134) 
2019-03-02 02:01:59,724 [D] execute_cnt:0	(at logger.py:134) 
2019-03-02 02:01:59,724 [D] fail_del_cnt:2	(at logger.py:134) 
2019-03-02 02:01:59,724 [D] iter_idx:5	(at logger.py:134) 
2019-03-02 02:01:59,724 [D] reuse_cnt:2	(at logger.py:134) 
2019-03-02 02:01:59,725 [D] succ_del_cnt:0	(at logger.py:134) 
2019-03-02 02:01:59,725 [D] time:0.028371810913085938	(at logger.py:134) 
2019-03-02 02:01:59,725 [D] deletion:43	(at logger.py:136) 
