2019-03-02 02:02:00,356 [I] 	(at main.py:29) 
2019-03-02 02:02:00,357 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:02:00,357 [I] Load config file.	(at main.py:56) 
2019-03-02 02:02:00,357 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:02:00,357 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/wc/4/work	(at workspace.py:41) 
2019-03-02 02:02:00,360 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:02:00,360 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:02:00,361 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:02:00,395 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:02:00,406 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:02:00,442 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:02:00,457 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:02:00,458 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:02:00,458 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:02:02,601 [I] Iteration 1 finished	(at orbs.py:87) 
2019-03-02 02:02:03,283 [I] Iteration 2 finished	(at orbs.py:87) 
2019-03-02 02:02:03,703 [I] Iteration 3 finished	(at orbs.py:87) 
2019-03-02 02:02:03,805 [I] Iteration 4 finished	(at orbs.py:87) 
2019-03-02 02:02:03,806 [I] ORBS fin.	(at orbs.py:91) 
2019-03-02 02:02:03,806 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-03-02 02:02:03,806 [I] 	(at main.py:96) 
