factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.65,13,0,7,13,20
1,0.42857142857142855,0.6842105263157895,13,0,6,13,19
3,0.42857142857142855,0.7222222222222222,13,0,5,13,18
18,0.42857142857142855,0.7647058823529411,13,0,4,13,17
9,0.3283582089552239,0.8125,13,0,3,13,16
6,0.2857142857142857,0.8666666666666667,13,0,2,13,15
8,0.28,0.8666666666666667,13,0,2,13,15
20,0.23076923076923078,0.8,12,1,2,13,14
7,0.21212121212121213,0.8571428571428571,12,1,1,13,13
14,0.10588235294117647,0.9230769230769231,12,1,0,13,12
2,0.09523809523809523,0.8461538461538461,11,2,0,13,11
4,0.0,0.38461538461538464,5,8,0,13,5
5,0.0,0.38461538461538464,5,8,0,13,5
10,0.0,0.38461538461538464,5,8,0,13,5
11,0.0,0.38461538461538464,5,8,0,13,5
12,0.0,0.38461538461538464,5,8,0,13,5
13,0.0,0.38461538461538464,5,8,0,13,5
15,0.0,0.38461538461538464,5,8,0,13,5
16,0.0,0.38461538461538464,5,8,0,13,5
17,0.0,0.38461538461538464,5,8,0,13,5
19,0.0,0.15384615384615385,2,11,0,13,2
21,0.0,0.15384615384615385,2,11,0,13,2
