2019-03-02 23:19:49,717 [I] output_path: output/bayes_sim/wc/ff2l	(at bayes_similarity.py:161) 
2019-03-02 23:19:49,728 [I] factor_size: 21	(at bayes_similarity.py:48) 
2019-03-02 23:19:49,728 [I] response_size: 19	(at bayes_similarity.py:49) 
2019-03-02 23:19:49,750 [I] Criteria path loaded (path:output/original/wc/scripts/test/criteria)	(at bayes_similarity.py:60) 
2019-03-02 23:19:49,750 [I] Criterion ORBS:10:5:characters (1): response_idx:2, vector_idx:23	(at bayes_similarity.py:129) 
2019-03-02 23:19:49,784 [I] Criterion ORBS:11:5:inword (2): response_idx:3, vector_idx:24	(at bayes_similarity.py:129) 
2019-03-02 23:19:49,824 [I] Criterion ORBS:12:5:words (3): response_idx:4, vector_idx:25	(at bayes_similarity.py:129) 
2019-03-02 23:19:49,859 [I] Criterion ORBS:13:25:c (4): response_idx:5, vector_idx:26	(at bayes_similarity.py:129) 
2019-03-02 23:19:49,896 [I] Criterion ORBS:15:22:characters (5): response_idx:6, vector_idx:27	(at bayes_similarity.py:129) 
2019-03-02 23:19:49,932 [I] Criterion ORBS:15:9:characters (6): response_idx:7, vector_idx:28	(at bayes_similarity.py:129) 
2019-03-02 23:19:49,969 [I] Criterion ORBS:16:13:c (7): response_idx:8, vector_idx:29	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,031 [I] Criterion ORBS:18:21:lines (8): response_idx:9, vector_idx:30	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,072 [I] Criterion ORBS:18:13:lines (9): response_idx:10, vector_idx:31	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,117 [I] Criterion ORBS:20:22:c (10): response_idx:11, vector_idx:32	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,158 [I] Criterion ORBS:22:17:inword (11): response_idx:12, vector_idx:33	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,197 [I] Criterion ORBS:24:25:words (12): response_idx:13, vector_idx:34	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,237 [I] Criterion ORBS:24:17:words (13): response_idx:14, vector_idx:35	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,276 [I] Criterion ORBS:25:17:inword (14): response_idx:15, vector_idx:36	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,315 [I] Criterion ORBS:30:13:inword (15): response_idx:16, vector_idx:37	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,354 [I] Criterion ORBS:36:19:c (16): response_idx:17, vector_idx:38	(at bayes_similarity.py:129) 
2019-03-02 23:19:50,395 [I] Criterion ORBS:37:11:c (17): response_idx:18, vector_idx:39	(at bayes_similarity.py:129) 
